,Generator,Time,Value,Zones
0,RATHDRUM_1,1,0.0,PNW
1,RATHDRUM_1,2,0.0,PNW
2,RATHDRUM_1,3,0.0,PNW
3,RATHDRUM_1,4,83.2,PNW
4,RATHDRUM_1,5,0.0,PNW
5,RATHDRUM_1,6,0.0,PNW
6,RATHDRUM_1,7,83.2,PNW
7,RATHDRUM_1,8,0.0,PNW
8,RATHDRUM_1,9,0.0,PNW
9,RATHDRUM_1,10,0.0,PNW
10,RATHDRUM_1,11,0.0,PNW
11,RATHDRUM_1,12,0.0,PNW
12,RATHDRUM_1,13,0.0,PNW
13,RATHDRUM_1,14,0.0,PNW
14,RATHDRUM_1,15,0.0,PNW
15,RATHDRUM_1,16,0.0,PNW
16,RATHDRUM_1,17,0.0,PNW
17,RATHDRUM_1,18,0.0,PNW
18,RATHDRUM_1,19,0.0,PNW
19,RATHDRUM_1,20,0.0,PNW
20,RATHDRUM_1,21,0.0,PNW
21,RATHDRUM_1,22,0.0,PNW
22,RATHDRUM_1,23,0.0,PNW
23,RATHDRUM_1,24,0.0,PNW
24,RATHDRUM_2,1,0.0,PNW
25,RATHDRUM_2,2,83.2,PNW
26,RATHDRUM_2,3,0.0,PNW
27,RATHDRUM_2,4,83.2,PNW
28,RATHDRUM_2,5,0.0,PNW
29,RATHDRUM_2,6,0.0,PNW
30,RATHDRUM_2,7,0.0,PNW
31,RATHDRUM_2,8,0.0,PNW
32,RATHDRUM_2,9,0.0,PNW
33,RATHDRUM_2,10,0.0,PNW
34,RATHDRUM_2,11,0.0,PNW
35,RATHDRUM_2,12,0.0,PNW
36,RATHDRUM_2,13,0.0,PNW
37,RATHDRUM_2,14,0.0,PNW
38,RATHDRUM_2,15,83.2,PNW
39,RATHDRUM_2,16,0.0,PNW
40,RATHDRUM_2,17,0.0,PNW
41,RATHDRUM_2,18,0.0,PNW
42,RATHDRUM_2,19,0.0,PNW
43,RATHDRUM_2,20,0.0,PNW
44,RATHDRUM_2,21,0.0,PNW
45,RATHDRUM_2,22,0.0,PNW
46,RATHDRUM_2,23,0.0,PNW
47,RATHDRUM_2,24,0.0,PNW
48,RATHDRUMPWR_CTG1,1,0.0,PNW
49,RATHDRUMPWR_CTG1,2,0.0,PNW
50,RATHDRUMPWR_CTG1,3,0.0,PNW
51,RATHDRUMPWR_CTG1,4,0.0,PNW
52,RATHDRUMPWR_CTG1,5,0.0,PNW
53,RATHDRUMPWR_CTG1,6,0.0,PNW
54,RATHDRUMPWR_CTG1,7,0.0,PNW
55,RATHDRUMPWR_CTG1,8,0.0,PNW
56,RATHDRUMPWR_CTG1,9,0.0,PNW
57,RATHDRUMPWR_CTG1,10,0.0,PNW
58,RATHDRUMPWR_CTG1,11,0.0,PNW
59,RATHDRUMPWR_CTG1,12,0.0,PNW
60,RATHDRUMPWR_CTG1,13,0.0,PNW
61,RATHDRUMPWR_CTG1,14,0.0,PNW
62,RATHDRUMPWR_CTG1,15,0.0,PNW
63,RATHDRUMPWR_CTG1,16,0.0,PNW
64,RATHDRUMPWR_CTG1,17,0.0,PNW
65,RATHDRUMPWR_CTG1,18,0.0,PNW
66,RATHDRUMPWR_CTG1,19,0.0,PNW
67,RATHDRUMPWR_CTG1,20,0.0,PNW
68,RATHDRUMPWR_CTG1,21,0.0,PNW
